市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
43100,熊本県熊本市,143,健軍小学校,熊本県熊本市東区健軍2-25-56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.784179,130.752403,
43100,熊本県熊本市,144,水前寺江津湖公園（庄口公園）,熊本県熊本市東区健軍4-19,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.779311,130.754102,
43100,熊本県熊本市,145,託麻東小学校,熊本県熊本市東区戸島3-15-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.824541,130.793929,
43100,熊本県熊本市,146,二岡中学校,熊本県熊本市東区戸島3-15-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.824024,130.792208,
43100,熊本県熊本市,147,熊本県酪農業協同組合連合会,熊本県熊本市東区戸島5-10-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.825531,130.79747,
43100,熊本県熊本市,148,香りの森,熊本県熊本市東区戸島西7-3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.801826,130.787379,
43100,熊本県熊本市,149,湖東中学校,熊本県熊本市東区湖東1-13-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.781329,130.748048,
43100,熊本県熊本市,150,家族葬のファミーユ（保田窪ホール）,熊本県熊本市東区御領1-6-38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.818321,130.761385,
43100,熊本県熊本市,151,託麻西小学校,熊本県熊本市東区御領2-3-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.821374,130.765997,
43100,熊本県熊本市,152,水前寺江津湖公園（広木地区）,熊本県熊本市東区広木町,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.76688948,130.7561062,
43100,熊本県熊本市,153,桜木中学校,熊本県熊本市東区桜木4-13-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.782509,130.782984,
43100,熊本県熊本市,154,桜木東小学校,熊本県熊本市東区桜木6-10-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.788308,130.781765,
